t,input,std_recon,dsl_recon
319,-0,-0.0222897,5.59043e-10
320,-0,-0.014803,-7.52461e-10
321,-0,-0.0432811,9.2064e-10
322,-0,-0.027077,6.70985e-10
323,-0,0.014348,4.32424e-11
324,-0,-0.00278844,-1.59834e-11
325,-0,0.0604547,6.46446e-10
326,-0,0.0320468,-4.42176e-10
327,-0,-0.0836317,-8.09998e-10
328,-0,0.0210979,9.56426e-10
329,-0,0.0274769,3.03961e-10
330,-0,0.0712814,4.21302e-10
331,-0,-0.0138248,-1.23311e-09
332,-0,0.0384827,-1.41707e-09
333,-0,0.0898345,-1.22681e-10
334,-0,-0.0126849,6.11426e-12
335,-0,-0.0496761,2.35738e-10
336,-0,0.0480547,3.94643e-10
337,-0,0.067898,9.31812e-11
338,-0,-0.0369445,4.33199e-10
339,-0,0.0296215,-1.72398e-10
340,-0,-0.0166373,1.03625e-09
341,-0,0.0303835,-6.86582e-10
342,-0,0.0242034,5.89965e-10
343,-0,-0.0084159,-1.8063e-10
344,-0,0.0581737,-8.60895e-10
345,-0,0.0322183,5.12103e-10
346,-0,0.00306667,-3.00657e-10
347,-0,0.0441632,-1.18194e-10
348,-0,0.018624,6.48339e-10
349,-0,-0.0332796,3.36564e-10
350,-0,0.103723,-9.00324e-11
351,-0,0.00688672,-1.01907e-09
352,-0,-0.0119412,1.11334e-09
353,-0,-0.0306935,-1.01402e-10
354,-0,-0.0468985,1.2349e-09
355,-0,0.0536696,-7.08051e-10
356,-0,0.0759578,3.49675e-10
357,-0,0.0187308,-6.01162e-10
358,-0,-0.0323277,-4.7847e-10
359,-0,0.00281685,8.20818e-10
360,-0,0.000640693,-1.16068e-09
361,-0,0.0317191,6.48168e-10
362,-0,-0.023196,5.66985e-10
363,-0,0.0621599,4.12698e-11
364,-0,-0.00198619,-8.23782e-11
365,-0,-0.0369157,-1.17861e-10
366,-0,-0.0151042,6.74452e-10
367,-0,-0.0535335,9.12553e-11
368,-0,0.0200805,-2.23356e-10
369,-0,0.0322224,7.42112e-10
370,-0,-0.00977316,1.45795e-11
371,-0,0.04012,-1.17211e-10
372,-0,0.0143643,-4.59529e-10
373,-0,-0.0109855,4.84486e-11
374,-0,-0.00728338,7.17478e-10
375,-0,-0.0474011,4.79928e-10
376,-0,-0.053115,4.63886e-10
377,-0,-0.0321542,-6.55369e-10
378,-0,-0.0150348,-1.58801e-11
379,-0,-0.0135638,-4.8355e-10
380,-0,-0.0296249,-4.70145e-10
381,-0,-0.0104688,3.67713e-10
382,-0,0.0597207,-6.47684e-10
383,-0,-0.0416553,-1.61302e-10
384,-0,-0.00440498,2.09488e-10
385,-0,-0.0778746,3.5371e-10
386,-0,-0.0604041,1.40393e-09
387,-0,0.0662887,1.49035e-09
388,-0,-0.0788208,-4.09309e-10
389,-0,-0.0670973,2.24197e-10
390,-0,-0.0381711,3.60607e-10
391,-0,-0.0693575,-2.18034e-10
392,-0,-0.0117724,5.45962e-10
393,-0,-0.00228486,1.40422e-09
394,-0,-0.0484169,-2.83721e-10
395,-0,-0.0138843,6.26583e-10
396,-0,0.0759754,3.6233e-10
397,-0,0.0275421,5.00603e-10
398,-0,0.0638787,3.59604e-10
399,-0,-0.0621309,6.10788e-10
400,-0,0.008161,5.13449e-10
401,-0,0.0396851,-2.41653e-10
402,-0,0.00282078,3.47304e-10
403,-0,-0.0845105,-2.77065e-10
404,-0,-0.0118957,2.49863e-10
405,-0,-0.0752121,-2.13865e-10
406,-0,-0.0195808,-9.26237e-10
407,-0,-0.00344636,-4.69214e-10
408,-0,-0.0220125,-1.66365e-09
409,-0,-0.0233592,-3.91634e-10
410,-0,0.0247436,-2.47285e-10
411,-0,-0.0722191,1.87935e-10
412,-0,0.113211,-8.95456e-10
413,-0,0.0662474,7.73823e-10
414,-0,-0.0298477,9.26649e-10
415,-0,-0.11285,-3.06569e-10
416,-0,-0.0278972,-2.80747e-10
417,-0,0.0384207,1.24424e-09
418,-0,-0.0682103,5.03404e-10
419,-0,-0.083222,4.1312e-11
420,-0,-0.00204768,3.46472e-10
421,-0,0.0385946,-1.07906e-10
422,-0,-0.0839755,4.65359e-11
423,-0,-0.0608302,2.98825e-10
424,-0,0.0276492,-5.55101e-10
425,-0,-0.00671688,-1.86385e-10
426,-0,-0.00699711,8.66864e-10
427,-0,0.0918037,-6.29523e-11
428,-0,0.0592475,-3.94514e-10
429,-0,-0.0339289,1.27531e-10
430,-0,0.109409,9.45211e-10
431,-0,-0.00914439,6.43814e-10
432,-0,-0.00371768,9.16948e-10
433,-0,0.0153469,-3.44126e-10
